sentence,exrecise,feeling
my first workout was using ten pound dumbbells and lifting them. i felt energized and wanted to do more exercising.,dumbbells,energized
i lifted 2 lb. dumbbells for 20 minutes. i could feel my muscles straining as i lifted the weights,dumbbells,muscles straining
i just did 3 sets of dumbell chest presses i felt great and my chest is pumped up,dumbell chest presses,"great, pumped"
dumbell curls it was good,dumbell curls,good
i am workout second dumbell squats i am spent more time  in second workout,dumbell squats,spent more time
second workout dumbell squats i am spent more time in second workout,dumbell squats,spent more time
i pushed dumbells two sets at a time. pumped up.,dumbells,pumped
this one was far easier but my legs hurt so bad  still felt proud after completion but really tiring during,"easier, hurt so bad","proud, really tiring"
i used the elipitical. i was bored.,elipitical,bored
i did the eliptical for 20 mins i felt better and tired,eliptical,"better, tired"
30 minutes on the eliptical i was really bored,eliptical,bored
i spent 40 min on the eliptical  i felt refreshed,eliptical,refreshed
i just did 30 minutes on the eliptical. i felt invigorated,eliptical,invigorated
i spent 90 minutes on the elliptical and felt energetic.,elliptical,energetic
i did 15 minutes on the elliptical and feel pained.,elliptical,pained
i spent 30 minutes on the elliptical and was winded and exhausted.,elliptical,"winded, exhausted"
"i exercised 60 minutes on the elliptical trainer, and i felt good and in high spirits after that.",elliptical,"good, high spirits"
i felt energized and refreshed after using the elliptical for 25 minutes.,elliptical,"energized, refreshed"
my legs felt like jelly after using the elliptical for 45 minutes today.,elliptical,jelly
i did 20 minutes on my elliptical my legs felt like spaghetti noodles after,elliptical,spaghetti noodles
i worked out on the elliptical for a half hour.  it felt nice since the elliptical is not a straining workout.,elliptical,nice
i did the elliptical for 40 minutes i felt sweaty,elliptical,sweaty
i went on the elliptical for 30 minutes i felt great,elliptical,great
i used my elliptical i feel like i got a good leg workout in.,elliptical,good leg workout
i worked out on the elliptical for 50 minutes. it was hard work but very energizing.,elliptical,energizing
i walked 3 miles on the elliptical my legs are sore,elliptical,sore
"""i just spent twenty minutes on the elliptical."" ""i feel energized!""",elliptical,energized
i just did 15 minutes on elliptical i felt energized,elliptical,energized
"i did the elliptical for 40 minutes i felt sweaty, hot and good",elliptical,"sweaty, hot, good"
i just went on an elliptical for an hour. it was exhausting.,elliptical,exhausting
i spent 20 minutes on the elliptical. i was tired by the end.,elliptical,tired
elliptical i felt my hands and legs were both stiff and soar.,elliptical,"stiff, soar"
i did two miles on the elliptical  i felt like i couldn't breathe,elliptical,couldn't breathe
"i workout on the elliptical indoors for 45 minutes. felt like i did okay, but it was very boring.",elliptical,okay
i did the elliptical for 45 minutes now my legs are numb,elliptical,numb
i worked out on the elliptical for 30 minutes. i felt completely exhausted!,elliptical,exhausted
"i was on the elliptical for 45 minutes my legs hurt, so i'm feeling a little worn",elliptical,"hurt, worn"
i used the elliptical for 1 hour it was strenuous,elliptical,strenuous
i just used the elliptical trainer. i really pushed myself.,elliptical,pushed
"i did 4 miles on the elliptical. after it, my legs felt weak and tired.",elliptical,"weak, tired"
i just ran on the elliptical for one hour. i feel super tired.,elliptical,tired
"i worked out inside on the elliptical machine for 30 minutes i was winded, but got through. my legs were a little shaky and my feet were starting to get numb.",elliptical,"winded, shaky, numb"
i did cardio on the elliptical for 30 minutes i felt so winded!,elliptical,winded
i just ran 30 minutes on the elliptical.  i feel sweaty.,elliptical,sweaty
i did six miles on the elliptical. i felt exhilerated.,elliptical,exhilerated
i did 20 minutes on the elliptical.  my legs are killing me.,elliptical,legs are killing me
i worked out on the elliptical. it was invigorating.,elliptical,invigorating
i worked out for 20 minutes on the elliptical  my legs feel like jelly,elliptical,jelly
i did 15 minutes on the elliptical.  it was hard to keep going but i made it through!,elliptical,hard to keep going
i used an elliptical for 1 hour it was easy,elliptical,easy
i did the elliptical for an hour today  better then i did on the treadmill,elliptical,better
"i just did the elliptical for 28 mins i feel energized, it’s great to sweat",elliptical,"energized, great"
i did elliptical cardio at the gym for 30 minutes i felt a lot refreshed and more energetic,elliptical cardio,"refreshed, more energetic"
i used an elliptical machine for about two minutes on its maximum resistance setting and felt exhausted afterwards.,elliptical machine,exhausted
i did 30 minutes on the elliptical machine and i still felt like i could continue.,elliptical machine,continue
i worked out on the elliptical machine for 20 minutes.  i felt like i was being stretched on the rack!,elliptical machine,stretched
i just did 25 minutes straight on the elliptical machine. i felt like a boss while my legs pumped back and forth.,elliptical machine,like a boss
i did 30 minutes on the elliptical machine this morning my mood went from tired to all fired up,elliptical machine,fired up
i just did 1 hour of random hills on the elliptical machine my legs felt like bricks!,elliptical machine,like bricks
i like to use the elliptical machine i feel like  it builds arm and leg muscles,elliptical machine,builds arm and leg muscles
i did 30 minutes on the elliptical machine. i feel energized.,elliptical machine,energized
i used the elliptical machine for an hour. i feel tired from moving my arms and legs.,elliptical machine,tired
i did thirty minutes on the elliptical machine i feel sweaty but energized,elliptical machine,"sweaty, energized"
"endurance, or aerobic these activities increase my breathing and heart rate.",endurance,breathing and heart rate
i spent forty five minutes on the exerciese bike. my legs felt like jello.,exerciese bike,jello
i has floor exercise for my tummy for 50 times. i felt my back is going to break my back,exercise,break my back
"i spent the day working out on the exercise bike for the first time in about a year, and i woke up the net morning so sore on my legs and arms.",exercise bike,so sore
i did an hour on the exercise bike this morning i was worn out after,exercise bike,worn out
i rode exercise bike for one half hour i felt tired and legs were weak,exercise bike,"tired, weak"
i exercised on an exercise bike. i felt more energetic.,exercise bike,energetic
i rode an exercise bike for an hour. i felt worn out and tired.,exercise bike,"worn out, tired"
i just rode 15 minutes on the exercise bike. i felt sore afterward!,exercise bike,sore
i did 10 miles on the exercise bike.  i feel very accomplished.,exercise bike,accomplished
rode exercise bike 30 min. for 6 miles a little tired and sweaty,exercise bike,little tired
i just rode my exercise bike. it felt really good and i am glad that i did this.,exercise bike,"good, glad"
Log,Exercise Tag,Feeling Tag
i did an exercuse video for 20 minutes. i was exhausted!,exercise video,exhausted
i am so exhausted after that workout  i felt proud after i completed the workout,exhausted,proud
i just fast walked 3 miles i felt empowered,fast walked,empowered
i fast walked 2.5 km on the treadmill at 5 km/hr . it is a challenge  but i want to do it.,fast walked,challenge
i just finished a half hour on the treadmill i feel great about getting started with this program,finished,great
15 minute flexed arm hang a little shaky,flexed arm hang,shaky
i just did a flexibility training  it was awesome,flexibility training,awesome
i did a floor exercise my arms were like jello,floor exercise,jello
"""i held a floor plank for a minute and a half"" ""my core muscles are feeling strong!""",floor plank,strong
i play one hour for foot ball i feel fresh,foot ball,fresh
i just play foot ball  this is improve my body fitness,foot ball,body fitness
i have played football. i have very tired,football,very tired
"my first exercise would be football, this is easily tracked by using my smart watch to track steps and distances to give my amount of calories burned. i do not even consider this a traditional type of workout as i enjoy it so much.",football,enjoy
just done playing football feeling tired,football,tired
i played football for three hours. i felt sore after the game.,football,sore
i did my usual routing of free body and weighted exercises at the park. my muscles are sore.,free body and weighted exercises,sore
